episode,source,target
1,IRIDIUM 152,IRIDIUM 110
2,IRIDIUM 152,IRIDIUM 110
3,IRIDIUM 152,IRIDIUM 110
4,IRIDIUM 152,IRIDIUM 110
5,IRIDIUM 152,IRIDIUM 110
6,IRIDIUM 152,IRIDIUM 110
7,IRIDIUM 152,IRIDIUM 110
8,IRIDIUM 152,IRIDIUM 110
9,IRIDIUM 152,IRIDIUM 110
10,IRIDIUM 152,IRIDIUM 110
11,IRIDIUM 152,IRIDIUM 110
12,IRIDIUM 152,IRIDIUM 110
13,IRIDIUM 152,IRIDIUM 110
14,IRIDIUM 152,IRIDIUM 110
15,IRIDIUM 152,IRIDIUM 110
16,IRIDIUM 152,IRIDIUM 110
17,IRIDIUM 152,IRIDIUM 110
18,IRIDIUM 152,IRIDIUM 110
19,IRIDIUM 152,IRIDIUM 110
20,IRIDIUM 152,IRIDIUM 110
21,IRIDIUM 152,IRIDIUM 110
22,IRIDIUM 152,IRIDIUM 110
23,IRIDIUM 152,IRIDIUM 110
24,IRIDIUM 152,IRIDIUM 110
25,IRIDIUM 152,IRIDIUM 110
26,IRIDIUM 152,IRIDIUM 110
27,IRIDIUM 152,IRIDIUM 110
28,IRIDIUM 152,IRIDIUM 110
29,IRIDIUM 152,IRIDIUM 110
30,IRIDIUM 152,IRIDIUM 110
31,IRIDIUM 152,IRIDIUM 110
32,IRIDIUM 152,IRIDIUM 110
33,IRIDIUM 152,IRIDIUM 110
34,IRIDIUM 152,IRIDIUM 110
35,IRIDIUM 152,IRIDIUM 110
36,IRIDIUM 152,IRIDIUM 110
37,IRIDIUM 152,IRIDIUM 110
38,IRIDIUM 152,IRIDIUM 110
39,IRIDIUM 152,IRIDIUM 110
40,IRIDIUM 152,IRIDIUM 110
41,IRIDIUM 152,IRIDIUM 110
42,IRIDIUM 152,IRIDIUM 110
43,IRIDIUM 152,IRIDIUM 110
44,IRIDIUM 152,IRIDIUM 110
45,IRIDIUM 152,IRIDIUM 110
46,IRIDIUM 152,IRIDIUM 110
47,IRIDIUM 152,IRIDIUM 110
48,IRIDIUM 152,IRIDIUM 110
49,IRIDIUM 152,IRIDIUM 110
50,IRIDIUM 152,IRIDIUM 110
51,IRIDIUM 152,IRIDIUM 110
52,IRIDIUM 152,IRIDIUM 110
53,IRIDIUM 152,IRIDIUM 110
54,IRIDIUM 152,IRIDIUM 110
55,IRIDIUM 152,IRIDIUM 110
56,IRIDIUM 152,IRIDIUM 110
57,IRIDIUM 152,IRIDIUM 110
58,IRIDIUM 152,IRIDIUM 110
59,IRIDIUM 152,IRIDIUM 110
60,IRIDIUM 152,IRIDIUM 110
61,IRIDIUM 152,IRIDIUM 110
62,IRIDIUM 152,IRIDIUM 110
63,IRIDIUM 152,IRIDIUM 110
64,IRIDIUM 152,IRIDIUM 110
65,IRIDIUM 152,IRIDIUM 110
66,IRIDIUM 152,IRIDIUM 110
67,IRIDIUM 152,IRIDIUM 110
68,IRIDIUM 152,IRIDIUM 110
69,IRIDIUM 152,IRIDIUM 110
70,IRIDIUM 152,IRIDIUM 110
71,IRIDIUM 152,IRIDIUM 110
72,IRIDIUM 152,IRIDIUM 110
73,IRIDIUM 152,IRIDIUM 110
74,IRIDIUM 152,IRIDIUM 110
75,IRIDIUM 152,IRIDIUM 110
76,IRIDIUM 152,IRIDIUM 110
