episode,source,target
1,IRIDIUM 128,IRIDIUM 103
2,IRIDIUM 128,IRIDIUM 103
3,IRIDIUM 128,IRIDIUM 103
4,IRIDIUM 128,IRIDIUM 103
5,IRIDIUM 128,IRIDIUM 103
6,IRIDIUM 128,IRIDIUM 103
7,IRIDIUM 128,IRIDIUM 103
8,IRIDIUM 128,IRIDIUM 103
9,IRIDIUM 128,IRIDIUM 103
10,IRIDIUM 128,IRIDIUM 103
11,IRIDIUM 128,IRIDIUM 103
12,IRIDIUM 128,IRIDIUM 103
13,IRIDIUM 128,IRIDIUM 103
14,IRIDIUM 128,IRIDIUM 103
15,IRIDIUM 128,IRIDIUM 103
16,IRIDIUM 128,IRIDIUM 103
17,IRIDIUM 128,IRIDIUM 103
18,IRIDIUM 128,IRIDIUM 103
19,IRIDIUM 128,IRIDIUM 103
20,IRIDIUM 128,IRIDIUM 103
21,IRIDIUM 128,IRIDIUM 103
22,IRIDIUM 128,IRIDIUM 103
23,IRIDIUM 128,IRIDIUM 103
24,IRIDIUM 128,IRIDIUM 103
25,IRIDIUM 128,IRIDIUM 103
26,IRIDIUM 128,IRIDIUM 103
27,IRIDIUM 128,IRIDIUM 103
28,IRIDIUM 128,IRIDIUM 103
29,IRIDIUM 128,IRIDIUM 103
30,IRIDIUM 128,IRIDIUM 103
31,IRIDIUM 128,IRIDIUM 103
32,IRIDIUM 128,IRIDIUM 103
33,IRIDIUM 128,IRIDIUM 103
34,IRIDIUM 128,IRIDIUM 103
35,IRIDIUM 128,IRIDIUM 103
36,IRIDIUM 128,IRIDIUM 103
37,IRIDIUM 128,IRIDIUM 103
38,IRIDIUM 128,IRIDIUM 103
39,IRIDIUM 128,IRIDIUM 103
40,IRIDIUM 128,IRIDIUM 103
41,IRIDIUM 128,IRIDIUM 103
42,IRIDIUM 128,IRIDIUM 103
43,IRIDIUM 128,IRIDIUM 103
44,IRIDIUM 128,IRIDIUM 103
45,IRIDIUM 128,IRIDIUM 103
46,IRIDIUM 128,IRIDIUM 103
47,IRIDIUM 128,IRIDIUM 103
48,IRIDIUM 128,IRIDIUM 103
49,IRIDIUM 128,IRIDIUM 103
50,IRIDIUM 128,IRIDIUM 103
51,IRIDIUM 128,IRIDIUM 103
52,IRIDIUM 128,IRIDIUM 103
53,IRIDIUM 128,IRIDIUM 103
54,IRIDIUM 128,IRIDIUM 103
55,IRIDIUM 128,IRIDIUM 103
56,IRIDIUM 128,IRIDIUM 103
57,IRIDIUM 128,IRIDIUM 103
58,IRIDIUM 128,IRIDIUM 103
59,IRIDIUM 128,IRIDIUM 103
60,IRIDIUM 128,IRIDIUM 103
61,IRIDIUM 128,IRIDIUM 103
62,IRIDIUM 128,IRIDIUM 103
63,IRIDIUM 128,IRIDIUM 103
64,IRIDIUM 128,IRIDIUM 103
65,IRIDIUM 128,IRIDIUM 103
66,IRIDIUM 128,IRIDIUM 103
67,IRIDIUM 128,IRIDIUM 103
68,IRIDIUM 128,IRIDIUM 103
69,IRIDIUM 128,IRIDIUM 103
70,IRIDIUM 128,IRIDIUM 103
71,IRIDIUM 128,IRIDIUM 103
72,IRIDIUM 128,IRIDIUM 103
73,IRIDIUM 128,IRIDIUM 103
74,IRIDIUM 128,IRIDIUM 103
75,IRIDIUM 128,IRIDIUM 103
76,IRIDIUM 128,IRIDIUM 103
77,IRIDIUM 128,IRIDIUM 103
78,IRIDIUM 128,IRIDIUM 103
79,IRIDIUM 128,IRIDIUM 103
80,IRIDIUM 128,IRIDIUM 103
81,IRIDIUM 128,IRIDIUM 103
82,IRIDIUM 128,IRIDIUM 103
83,IRIDIUM 128,IRIDIUM 103
84,IRIDIUM 128,IRIDIUM 103
85,IRIDIUM 128,IRIDIUM 103
86,IRIDIUM 128,IRIDIUM 103
87,IRIDIUM 128,IRIDIUM 103
88,IRIDIUM 128,IRIDIUM 103
89,IRIDIUM 128,IRIDIUM 103
90,IRIDIUM 128,IRIDIUM 103
91,IRIDIUM 128,IRIDIUM 103
92,IRIDIUM 128,IRIDIUM 103
93,IRIDIUM 128,IRIDIUM 103
94,IRIDIUM 128,IRIDIUM 103
95,IRIDIUM 128,IRIDIUM 103
96,IRIDIUM 128,IRIDIUM 103
97,IRIDIUM 128,IRIDIUM 103
98,IRIDIUM 128,IRIDIUM 103
99,IRIDIUM 128,IRIDIUM 103
100,IRIDIUM 128,IRIDIUM 103
101,IRIDIUM 128,IRIDIUM 103
102,IRIDIUM 128,IRIDIUM 103
103,IRIDIUM 128,IRIDIUM 103
104,IRIDIUM 128,IRIDIUM 103
105,IRIDIUM 128,IRIDIUM 103
106,IRIDIUM 128,IRIDIUM 103
107,IRIDIUM 128,IRIDIUM 103
108,IRIDIUM 128,IRIDIUM 103
109,IRIDIUM 128,IRIDIUM 103
110,IRIDIUM 128,IRIDIUM 103
111,IRIDIUM 128,IRIDIUM 103
112,IRIDIUM 128,IRIDIUM 103
113,IRIDIUM 128,IRIDIUM 103
114,IRIDIUM 128,IRIDIUM 103
115,IRIDIUM 128,IRIDIUM 103
116,IRIDIUM 128,IRIDIUM 103
117,IRIDIUM 128,IRIDIUM 103
118,IRIDIUM 128,IRIDIUM 103
119,IRIDIUM 128,IRIDIUM 103
120,IRIDIUM 128,IRIDIUM 103
121,IRIDIUM 128,IRIDIUM 103
122,IRIDIUM 128,IRIDIUM 103
123,IRIDIUM 128,IRIDIUM 103
124,IRIDIUM 128,IRIDIUM 103
125,IRIDIUM 128,IRIDIUM 103
126,IRIDIUM 128,IRIDIUM 103
127,IRIDIUM 128,IRIDIUM 103
128,IRIDIUM 128,IRIDIUM 103
129,IRIDIUM 128,IRIDIUM 103
130,IRIDIUM 128,IRIDIUM 103
131,IRIDIUM 128,IRIDIUM 103
132,IRIDIUM 128,IRIDIUM 103
133,IRIDIUM 128,IRIDIUM 103
134,IRIDIUM 128,IRIDIUM 103
135,IRIDIUM 128,IRIDIUM 103
136,IRIDIUM 128,IRIDIUM 103
137,IRIDIUM 128,IRIDIUM 103
138,IRIDIUM 128,IRIDIUM 103
139,IRIDIUM 128,IRIDIUM 103
140,IRIDIUM 128,IRIDIUM 103
141,IRIDIUM 128,IRIDIUM 103
142,IRIDIUM 128,IRIDIUM 103
143,IRIDIUM 128,IRIDIUM 103
144,IRIDIUM 128,IRIDIUM 103
145,IRIDIUM 128,IRIDIUM 103
146,IRIDIUM 128,IRIDIUM 103
147,IRIDIUM 128,IRIDIUM 103
148,IRIDIUM 128,IRIDIUM 103
149,IRIDIUM 128,IRIDIUM 103
150,IRIDIUM 128,IRIDIUM 103
151,IRIDIUM 128,IRIDIUM 103
152,IRIDIUM 128,IRIDIUM 103
153,IRIDIUM 128,IRIDIUM 103
154,IRIDIUM 128,IRIDIUM 103
155,IRIDIUM 128,IRIDIUM 103
156,IRIDIUM 128,IRIDIUM 103
157,IRIDIUM 128,IRIDIUM 103
158,IRIDIUM 128,IRIDIUM 103
159,IRIDIUM 128,IRIDIUM 103
160,IRIDIUM 128,IRIDIUM 103
161,IRIDIUM 128,IRIDIUM 103
162,IRIDIUM 128,IRIDIUM 103
163,IRIDIUM 128,IRIDIUM 103
164,IRIDIUM 128,IRIDIUM 103
165,IRIDIUM 128,IRIDIUM 103
166,IRIDIUM 128,IRIDIUM 103
167,IRIDIUM 128,IRIDIUM 103
168,IRIDIUM 128,IRIDIUM 103
169,IRIDIUM 128,IRIDIUM 103
170,IRIDIUM 128,IRIDIUM 103
171,IRIDIUM 128,IRIDIUM 103
172,IRIDIUM 128,IRIDIUM 103
173,IRIDIUM 128,IRIDIUM 103
174,IRIDIUM 128,IRIDIUM 103
175,IRIDIUM 128,IRIDIUM 103
176,IRIDIUM 128,IRIDIUM 103
177,IRIDIUM 128,IRIDIUM 103
178,IRIDIUM 128,IRIDIUM 103
179,IRIDIUM 128,IRIDIUM 103
180,IRIDIUM 128,IRIDIUM 103
181,IRIDIUM 128,IRIDIUM 103
182,IRIDIUM 128,IRIDIUM 103
183,IRIDIUM 128,IRIDIUM 103
184,IRIDIUM 128,IRIDIUM 103
185,IRIDIUM 128,IRIDIUM 103
186,IRIDIUM 128,IRIDIUM 103
187,IRIDIUM 128,IRIDIUM 103
188,IRIDIUM 128,IRIDIUM 103
189,IRIDIUM 128,IRIDIUM 103
190,IRIDIUM 128,IRIDIUM 103
191,IRIDIUM 128,IRIDIUM 103
